track_name,artist_names,danceability,energy,key,mode,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration
Amor A Primera Vista,"Los Ángeles Azules, Belinda, Lalo Ebratt, Horacio Palencia",0.6779999999999999,0.821,0.0,1.0,-6.017,0.0672,0.228,4.79e-05,0.147,0.96,170.16400000000004,221347.0
Amor Fugaz,Los Del Limit,0.5870000000000001,0.41100000000000003,8.0,1.0,-8.758,0.0475,0.185,0.0,0.273,0.53,140.27700000000002,175125.0
Amor Ordinario,Danna Paola,0.426,0.395,6.0,0.0,-8.475,0.0483,0.569,0.0,0.126,0.289,140.369,190360.0
Amor Tumbado,Natanael Cano,0.535,0.7140000000000001,6.0,0.0,-5.752999999999999,0.0329,0.332,2.91e-06,0.0806,0.45799999999999996,100.059,221554.0
Amor Tumbado,"Natanael Cano, Alejandro Fernández",0.642,0.46399999999999997,6.0,0.0,-8.102,0.0404,0.442,0.0,0.0507,0.564,100.15899999999999,159867.0
Amor Tóxico,Christian Nodal,0.607,0.5479999999999999,2.0,1.0,-3.4530000000000003,0.0258,0.47100000000000003,0.0,0.195,0.8270000000000001,150.189,130760.0
Amor Viejo,Kevin Kaarl,0.679,0.179,0.0,1.0,-15.270999999999999,0.049,0.992,0.285,0.10800000000000001,0.358,93.185,132362.0
Amor del Bueno,Reyli Barba,0.77,0.373,1.0,1.0,-6.931,0.0328,0.317,0.0,0.217,0.293,131.975,242027.0
Amor en Coma,"Manuel Turizo, Maluma",0.644,0.6609999999999999,1.0,0.0,-4.877,0.451,0.369,0.0,0.0733,0.355,180.05,199882.0
Amorfoda,Bad Bunny,0.7490000000000001,0.418,9.0,0.0,-7.925,0.0587,0.985,0.000126,0.0832,0.307,147.887,153887.0
Andamos Mejor,Los Gemelos De Sinaloa,0.855,0.59,9.0,1.0,-8.55,0.0751,0.28,0.0982,0.149,0.28300000000000003,110.016,137184.0
Andrea,"Bad Bunny, Buscabulla",0.797,0.616,1.0,0.0,-10.229,0.375,0.762,0.000293,0.0979,0.451,103.071,339612.0
Another Love,Tom Odell,0.442,0.5379999999999999,4.0,0.0,-8.55,0.0451,0.7170000000000001,2.95e-05,0.09,0.139,122.758,244360.0
Another One Bites The Dust - Remastered 2011,Queen,0.9329999999999999,0.528,5.0,0.0,-6.472,0.161,0.11199999999999999,0.312,0.163,0.754,109.96700000000001,214653.0
Antarctica,$uicideboy$,0.715,0.633,2.0,1.0,-6.869,0.0804,0.5529999999999999,4.45e-06,0.0905,0.319,105.945,126850.0
Antes,"Anuel AA, Ozuna",0.8170000000000001,0.737,6.0,0.0,-5.452999999999999,0.102,0.046,1.57e-05,0.092,0.67,93.985,206587.0
Antisocial (feat. Juice WRLD),"Migos, Juice WRLD",0.667,0.39,5.0,0.0,-10.687000000000001,0.0491,0.784,0.0,0.121,0.528,140.033,262340.0
Antologia,Shakira,0.8390000000000001,0.40299999999999997,0.0,1.0,-11.059000000000001,0.0308,0.5,1.81e-06,0.0786,0.575,97.96700000000001,254240.0
